,wallet_address,contract,tx_count,rnk,contract_name
32552,0x00d7ce31887a509ef93fd846d6b7caebf81783d7,0xd2639676da3dea5491d27da19340556b3a7d58b8,1,1,
32553,0x00d7ce31887a509ef93fd846d6b7caebf81783d7,0x36e66fbbce51e4cd5bd3c62b637eb411b18949d4,1,4,
32554,0x00d7ce31887a509ef93fd846d6b7caebf81783d7,0x4790a39d5615bfbdad0e91a58c8b7391d48ffb9a,1,2,
36481,0x00f4d759c49d9c1912a156743bc0eff14659cae7,0xdac17f958d2ee523a2206206994597c13d831ec7,8,1,Tether (USDT)
43094,0x0124d0fa0dfb1430dfcff16ec6a96945e7a0bc10,0x64545160d28fd0e309277c02d6d73b3923cc4bfa,1569,1,Unknown Contract #5
47159,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0xdac17f958d2ee523a2206206994597c13d831ec7,803,1,Tether (USDT)
47160,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x59f6960e52479044600835c921f69a6a803477cf,10,2,
47161,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x63ab03ad2731db7f7fc516f4e3852cbe15177298,8,3,
47162,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x0073b40ccbf8a7271d2f6420523eb24d4daecd91,6,5,
47163,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x6f5ca79a6d4f5e2d075587ad990a6cb17f497ce7,6,4,
47164,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x4f8809a942446f4015c3b0de36c65b859f65b77a,5,7,
47165,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0xd87c4b372935c1145b01ba76ba4bfa12760bab3e,5,6,
47166,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0xbd7f47e6695d1afab6728aa4df69466c9d183dfe,3,9,
47167,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x6c85fa45b837760eb5945ed195395add44a001c9,3,8,
47168,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x5778d5ab2d03edb4156f42cb17c29beacb8d69b4,3,10,
48496,0x014dcec5d0a124ed7de2ca305cd7157502806c93,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,85,1,
51646,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0xdac17f958d2ee523a2206206994597c13d831ec7,1412,1,Tether (USDT)
51647,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,372,2,USD Coin (USDC)
51648,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0xf411903cbc70a74d22900a5de66a2dda66507255,197,3,
51649,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x514910771af9ca656af840dff83e8264ecf986ca,40,4,
51650,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x6b175474e89094c44da98b954eedeac495271d0f,38,5,
51651,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x6982508145454ce325ddbe47a25d4ec3d2311933,25,6,
51652,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,21,7,
51653,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,14,8,
51654,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,11,10,
51655,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x8e870d67f660d95d5be530380d0ec0bd388289e1,11,9,
52248,0x016a88b7678abeecc7f9ad67ed33231e331d1358,0x253553366da8546fc250f225fe3d25d0c782303b,2,1,
52249,0x016a88b7678abeecc7f9ad67ed33231e331d1358,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,1,4,
52250,0x016a88b7678abeecc7f9ad67ed33231e331d1358,0xd3f52ad671d38663fb813a26c4b42c75ea6ec34e,1,3,
52251,0x016a88b7678abeecc7f9ad67ed33231e331d1358,0x0000000000000068f116a894984e2db1123eb395,1,2,
68619,0x01e6a33751257181b49cfebc6a4cf4495aa58871,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,17,1,
68620,0x01e6a33751257181b49cfebc6a4cf4495aa58871,0x0763fdccf1ae541a5961815c0872a8c5bc6de4d7,2,3,
68621,0x01e6a33751257181b49cfebc6a4cf4495aa58871,0xdac17f958d2ee523a2206206994597c13d831ec7,2,2,Tether (USDT)
68622,0x01e6a33751257181b49cfebc6a4cf4495aa58871,0x55296f69f40ea6d20e478533c15a6b08b654e758,1,4,
68623,0x01e6a33751257181b49cfebc6a4cf4495aa58871,0x8fc8f8269ebca376d046ce292dc7eac40c8d358a,1,6,
68624,0x01e6a33751257181b49cfebc6a4cf4495aa58871,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,1,10,
68625,0x01e6a33751257181b49cfebc6a4cf4495aa58871,0x3506424f91fd33084466f402d5d97f05f8e3b4af,1,9,
68626,0x01e6a33751257181b49cfebc6a4cf4495aa58871,0x29d7139271398d0c2e22523fda06e023dcb07f8f,1,5,
68627,0x01e6a33751257181b49cfebc6a4cf4495aa58871,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,1,7,
68628,0x01e6a33751257181b49cfebc6a4cf4495aa58871,0x38e382f74dfb84608f3c1f10187f6bef5951de93,1,8,
69977,0x01f19e970a1253230b23c7657b4799ef22a6b62f,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2,1,Uniswap Router
69978,0x01f19e970a1253230b23c7657b4799ef22a6b62f,0x15b7f9943530a09e642a726791ac07ba32fef29f,1,2,
70702,0x01f78f128f09034744d2847cc8d5939719285527,0xf047ab4c75cebf0eb9ed34ae2c186f3611aeafa6,4,1,
70703,0x01f78f128f09034744d2847cc8d5939719285527,0x4d831e22f062b5327dfdb15f0b6a5df20e2e3dd0,3,2,
70704,0x01f78f128f09034744d2847cc8d5939719285527,0x57e114b691db790c35207b2e685d4a43181e6061,2,3,
70705,0x01f78f128f09034744d2847cc8d5939719285527,0x7122985656e38bdc0302db86685bb972b145bd3c,2,4,
70706,0x01f78f128f09034744d2847cc8d5939719285527,0xd9a442856c234a39a81a089c06451ebaa4306a72,2,5,
70707,0x01f78f128f09034744d2847cc8d5939719285527,0x39053d51b77dc0d36036fc1fcc8cb819df8ef37a,1,10,
70708,0x01f78f128f09034744d2847cc8d5939719285527,0x54e44dbb92dba848ace27f44c0cb4268981ef1cc,1,7,
70709,0x01f78f128f09034744d2847cc8d5939719285527,0x256fb830945141f7927785c06b65dabc3744213c,1,6,
70710,0x01f78f128f09034744d2847cc8d5939719285527,0xae3106bce6d895badcd79eb38417b37ee4887b1b,1,8,
70711,0x01f78f128f09034744d2847cc8d5939719285527,0x4736808151268507a40eb6ac92d67345e8301a74,1,9,
71267,0x01fb8797f169c5d37ad692318f17b6bafb26b062,0x514910771af9ca656af840dff83e8264ecf986ca,384,1,
72196,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0xc36442b4a4522e871399cd717abdd847ab11fe88,52,1,
72197,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,12,2,Uniswap Router
72198,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0xe43ca1dee3f0fc1e2df73a0745674545f11a59f5,12,3,
72199,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10,4,Wrapped Ether (WETH)
72200,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0x86355f02119bdbc28ed6a4d5e0ca327ca7730fff,6,5,
72201,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0x3ee18b2214aff97000d974cf647e7c347e8fa585,2,6,
72202,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0xd555498a524612c67f286df0e0a9a64a73a7cdc7,2,7,
72203,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1,10,USD Coin (USDC)
72204,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1,9,
72205,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0xce4cf5dca6aee3b48b28a846b6253533e6790129,1,8,
73130,0x02096195b7711e7248f76648efa74285badd95fc,0x1111111254fb6c44bac0bed2854e76f90643097d,1,2,
73131,0x02096195b7711e7248f76648efa74285badd95fc,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1,1,
74717,0x0214ae5fd178986fa18ff792e0b995dc6a78cd56,0x40a50cf069e992aa4536211b23f286ef88752187,413,1,
80605,0x02432546c23e8c39993208a4e2827f443b3f7206,0x2e175f748976cd5cdb98f12d1abc5d137d6c9379,3,1,
80606,0x02432546c23e8c39993208a4e2827f443b3f7206,0x0000000000a39bb272e79075ade125fd351887ac,2,2,
80607,0x02432546c23e8c39993208a4e2827f443b3f7206,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,2,4,
80608,0x02432546c23e8c39993208a4e2827f443b3f7206,0xdac17f958d2ee523a2206206994597c13d831ec7,2,5,Tether (USDT)
80609,0x02432546c23e8c39993208a4e2827f443b3f7206,0x72ce9c846789fdb6fc1f34ac4ad25dd9ef7031ef,2,6,
80610,0x02432546c23e8c39993208a4e2827f443b3f7206,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2,3,0x Exchange Proxy
80611,0x02432546c23e8c39993208a4e2827f443b3f7206,0x49048044d57e1c92a77f79988d21fa8faf74e97e,1,10,
80612,0x02432546c23e8c39993208a4e2827f443b3f7206,0x26bbea7803dcac346d5f5f135b57cf2c752a02be,1,7,
80613,0x02432546c23e8c39993208a4e2827f443b3f7206,0xe166a1fc32647ba4ec271b753cc56b5f0870d232,1,8,
80614,0x02432546c23e8c39993208a4e2827f443b3f7206,0xfc29813beeb3c7395c7a5f8dfc3352491d5ea0e2,1,9,
89396,0x02864be954583456c866130f845595ed70f955b2,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2,1,0x Exchange Proxy
89397,0x02864be954583456c866130f845595ed70f955b2,0x4d224452801aced8b2f0aebe155379bb5d594381,1,2,
89398,0x02864be954583456c866130f845595ed70f955b2,0x1111111254eeb25477b68fb85ed929f73a960582,1,3,1inch Aggregation Router v3
90274,0x028d39a0564de3d197d7b5ba378a69282fe9e4f3,0xf3de3c0d654fda23dad170f0f320a92172509127,2,1,Unknown Contract #7
90275,0x028d39a0564de3d197d7b5ba378a69282fe9e4f3,0x6774bcbd5cecef1336b5300fb5186a12ddd8b367,1,3,OpenSea Seaport
90276,0x028d39a0564de3d197d7b5ba378a69282fe9e4f3,0x49048044d57e1c92a77f79988d21fa8faf74e97e,1,2,
92694,0x029f159b23828ca769f3431463383a36525ed120,0x64545160d28fd0e309277c02d6d73b3923cc4bfa,193,1,Unknown Contract #5
94902,0x02af3bd247e598af852c125e67a5010c2eae4fee,0xdac17f958d2ee523a2206206994597c13d831ec7,188,1,Tether (USDT)
94903,0x02af3bd247e598af852c125e67a5010c2eae4fee,0xaea3edd9e645e293304cd94b4749891cc5c76973,19,2,
94904,0x02af3bd247e598af852c125e67a5010c2eae4fee,0x03d33f4811967adbbfff2110b9a7633aeb51b9ff,1,3,
